Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Gain alt,Perte d'altitude,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Training Stress Score® (TSS®),Difficulté,Constance,Temps passé au fond,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale
Course,2020-04-17 09:27:36,false,"Val-Sonnette Course","8.57","572","00:40:40","161","183","3.8","169","179","4:45","3:36","32","29","1.25","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:31.69","9","0.0"
Course,2020-04-16 17:12:30,false,"Val-Sonnette Course","13.16","869","00:54:40","177","191","5.0","170","179","4:09","3:29","76","76","1.41","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:08.55","15","0.0"
Course,2020-04-16 08:58:21,false,"Val-Sonnette Course","16.04","987","01:12:28","157","178","4.3","169","179","4:31","3:42","75","74","1.31","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:10.45","17","0.0"
Course,2020-04-13 17:38:17,false,"Val-Sonnette Course","16.15","970","01:11:34","158","181","4.5","168","177","4:26","3:44","88","88","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:50.30","17","0.0"
Course,2020-04-10 15:12:09,false,"Val-Sonnette Course","37.31","2,672","03:18:28","166","187","5.0","168","245","5:19","3:42","1,011","1,009","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:25.10","38","0.0"
Course,2020-04-08 18:33:24,false,"Val-Sonnette Course","18.81","1,287","01:25:50","173","191","5.0","171","187","4:34","2:58","478","481","1.28","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:19.98","21","0.0"
Course,2020-04-06 15:58:41,false,"Val-Sonnette Course","13.78","844","01:10:38","146","182","3.5","169","222","5:08","3:28","236","237","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:42.100","14","0.0"
Course,2020-04-05 17:18:55,false,"Val-Sonnette Course","13.41","781","01:01:22","150","178","3.7","169","180","4:35","4:03","188","202","1.29","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:54.42","14","0.0"
Course,2020-04-04 17:53:36,false,"Val-Sonnette Course","12.35","537","00:51:34","136","180","3.0","171","182","4:11","3:23","53","56","1.40","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:21.10","13","0.0"
Course,2020-04-03 17:21:34,false,"Val-Sonnette Course","18.81","1,235","01:35:34","159","180","4.3","168","218","5:05","3:29","462","462","1.17","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:24.56","21","0.0"
